company_id,name,revenue_eur,website_domain,country,contact_owner
IT03032950242,SAFILO GROUP SPA,997786000,safilo.com,IT,N/A
IT03278440106,"COMARCO - COMPAGNIA GENERALE DI COMMERCIO, ARBITRAGGIO E COPERTUR E S.P.A",996824284,comarco.it,IT,N/A
IT02403240399,UNIGRA' S.P.A.,988097968,unigra.com,IT,N/A
IT00747170157,ROCHE SOCIETA' PER AZIONI,986306107,roche.it,IT,N/A
IT02774840595,PFIZER S.R.L.,984662519,oncowellness.it,IT,N/A
IT01814780936,ZAMA S.P.A.,983366000,hotelzama.it,IT,N/A
IT05305181009,TELECOM ITALIA SPARKLE S.P.A. ANCHE DENOMINATA IN FORMA ABBREVI TI SPARKLE,979709000,tisparkle.com,IT,N/A
IT01586110262,FRIUL INTAGLI INDUSTRIES S.P.A.,979032000,friulintagli.com,IT,N/A
IT11885730967,LOUIS VUITTON ITALIA S.R.L.,974061314,it.louisvuitton.com,IT,N/A
IT02187360967,COGNE ACCIAI SPECIALI S.P.A. IN FORMA ABBREVIATA: C.A.S. S.P.A. O COGNE S.P.A.,973495788,cogneacciaispeciali.intervieweb.it,IT,N/A
IT00124140211,DUSSMANN SERVICE S.R.L.,973379430,extranet.dussmann.it,IT,N/A
IT10286850960,PLUTO (ITALIA) S.P.A.,971548000,snaitech.it,IT,N/A
IT05848061007,ACEA ATO 2 - GRUPPO ACEA - SOCIETA' PER AZIONI IN FORMA ABBREVIAT A ACEA ATO 2 S.P.A.,967801000,aceaato2.a-acqua.it,IT,N/A
IT05847860151,ACS DOBFAR SPA,963256974,acsdobfar.com,IT,N/A
IT00230510281,VERTIV S.R.L.,962537000,vertivco.com,IT,N/A
IT00422760587,MSD ITALIA S.R.L.,961706770,msd-italia.it,IT,N/A
IT03781170281,ZIGNAGO HOLDING S.P.A.,960600000,zignago.com,IT,N/A
IT06705490966,TRENORD S.R.L.,959596000,pistsr.apctrenord.it,IT,N/A
IT09898830154,OMNICOM MEDIA GROUP S.R.L. IN BREVE OMG S.R.L.,959181851,omgitaly.it,IT,N/A
IT12289830155,DELL S.P.A.,958861230,delltechnologies.com,IT,N/A
GBFC037483,ENI GLOBAL ENERGY MARKETS S.P.A. - UK ESTABLISHMENT,958016866,,IT,N/A
IT02098230283,COSTANTIN S.P.A.,956818113,costantin.com,IT,N/A
IT06341981006,AZIENDA PER LA MOBILITA' DI ROMA CAPITALE SOCIETA' PER AZIONI,955848162,atac.roma.it,IT,N/A
IT07210440157,COMER INDUSTRIES S.P.A.,955354000,comerindustries.com,IT,N/A
IT05113870967,DUCATI MOTOR HOLDING SPA,954579000,ducati.com,IT,N/A
IT01552920355,POLTRONESOFA' HOLDING S.R.L.,952234000,poltronesofa.it,IT,N/A
IT04469810966,GARMON S.P.A.,951419000,geoplan.it,IT,N/A
IT00471270017,L'OREAL ITALIA S.P.A.,951030000,loreal-paris.it,IT,N/A
IT09619990964,BERLIN PACKAGING (EUROPE) S.P.A.,950825627,bruniglass.com,IT,N/A
IT11360450966,TEAMSYSTEM HOLDCO S.P.A.,950419000,teamsystem.com,IT,N/A
IT00776140154,FNM S.P.A.,949874000,ferrovienord.it,IT,N/A
IT02965701200,TREMAGI S.R.L.,949852000,tremagi.it,IT,N/A
IT11605400966,I.P.E. S.P.A.,948653128,internationalpetrolispa.com,IT,N/A
IT00754850154,SNAITECH S.P.A.,947030000,snai.it,IT,N/A
IT07012130584,ARNOLDO MONDADORI EDITORE SPA,945904000,mondadori.com,IT,N/A
IT00323370353,PADANA TUBI E PROFILATI ACCIAIO - S.P.A.,944010499,padanatubi.it,IT,N/A
IT10437660961,SODALIS INVESTMENTS S.R.L.,942520635,sodalisgroup.com,IT,N/A
IT04719670152,EUROITALIA S.R.L.,941878218,qr.moschinobeauty.com,IT,N/A
IT00908290281,FINVE S.R.L.,940670792,finver.it,IT,N/A
IT00220200281,ARNEG S.P.A.,940670730,arneg.com,IT,N/A
IT04927660961,SODALIS SRL,940548495,sodalisgroup.com,IT,N/A
IT06979710487,DEDALUS S.P.A,938196000,dedalus.com,IT,N/A
IT06405660488,DEDALUS HEALTHCARE SYSTEMS GROUP S.P.A.,938175000,dedalus.com,IT,N/A
IT12132110151,KIKO S.P.A.,937675000,kikocosmetics.it,IT,N/A
IT01610670356,UNIPOLRENTAL S.P.A.,937229000,carserver.it,IT,N/A
IT07947760158,SMEG S.P.A.,936117000,smeg.com,IT,N/A
IT02344000282,PORSCHE ITALIA S.P.A.,934113149,experience.porscheitalia.com,IT,N/A
IT09338680151,DANA ITALIA S.R.L.,933923532,dana.com,IT,N/A
IT07149930583,ENGIE SERVIZI S.P.A.,933555000,engie.it,IT,N/A
IT00432760585,ALLIANCE HEALTHCARE ITALIA DISTRIBUZIONE S.P.A.,933440976,alcura-health.it,IT,N/A
IT00261100549,FINANCO S.R.L.,933355000,financo.it,IT,N/A
IT00689730133,SACCHI GIUSEPPE S.P.A.,932224302,elettriclubsacchi.it,IT,N/A
IT02858450584,CONSERVE ITALIA - CONSORZIO ITALIANO FRA COOPERATIVE AGRICOLE - S OCIETA' COOPERATIVA AGRICOLA - IN FORMA ABBREVIATA CONSERVE ITALIA SOC.COOP. AG RICOLA .,931958084,cirio1856.com,IT,N/A
IT04846890285,KERING EYEWEAR S.P.A.,930828000,kering.com,IT,N/A
IT03794120109,RINA S.P.A.,928990000,rina.org,IT,N/A
IT03099200580,NISSAN ITALIA S.R.L.,927934596,micra.nissan.it,IT,N/A
IT09255551005,GOLDBET BETTER ORGANIZATION ITALY S.P.A. IN BREVE GBO ITALY S.P.A.,925578000,intralot.it,IT,N/A
IT00212840235,GLAXOSMITHKLINE S.P.A.,925497573,ilmiorespiro.it,IT,N/A
IT00448310615,SO.FARMA.MORRA S.P.A.,924525000,sofarmamorra.it,IT,N/A
IT13391870154,DENSO THERMAL SYSTEMS S.P.A.,924025022,denso-ts.com,IT,N/A
IT03562770481,FINDOMESTIC BANCA SPA,923955000,findomestic.it,IT,N/A
IT01208310399,GENERAL CAVI - SOCIETA' PER AZIONI,922051000,generalcavi.com,IT,N/A
IT02755910391,HOLDING Z 23 S.R.L.,922051000,,IT,N/A
IT02873550301,SPIC HOLDING S.R.L.,921903643,rizzanideeccher.com,IT,N/A
